year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party,candidatevotes,totalvotes,% of Total Votes,Rank,President
1976,Kansas,KS,20,47,32,US President,"Ford, Gerald",republican,"502,752","957,845",52.49%,1,NO
1976,Kansas,KS,20,47,32,US President,"Carter, Jimmy",democrat,"430,421","957,845",44.94%,2,YES
1976,Kentucky,KY,21,61,51,US President,"Carter, Jimmy",democrat,"615,717","1,167,142",52.75%,1,YES
1976,Kentucky,KY,21,61,51,US President,"Ford, Gerald",republican,"531,852","1,167,142",45.57%,2,NO
1976,Louisiana,LA,22,72,45,US President,"Carter, Jimmy",democrat,"661,365","1,277,383",51.77%,1,YES
1976,Louisiana,LA,22,72,45,US President,"Ford, Gerald",republican,"587,446","1,277,383",45.99%,2,NO
1976,Maine,ME,23,11,2,US President,"Ford, Gerald",republican,"236,320","482,968",48.93%,1,NO
1976,Maine,ME,23,11,2,US President,"Carter, Jimmy",democrat,"232,279","482,968",48.09%,2,YES
1976,Maryland,MD,24,52,52,US President,"Carter, Jimmy",democrat,"759,612","1,432,273",53.04%,1,YES
1976,Maryland,MD,24,52,52,US President,"Ford, Gerald",republican,"672,661","1,432,273",46.96%,2,NO
1976,Massachusetts,MA,25,14,3,US President,"Carter, Jimmy",democrat,"1,429,475","2,547,558",56.11%,1,YES
1976,Massachusetts,MA,25,14,3,US President,"Ford, Gerald",republican,"1,030,276","2,547,558",40.44%,2,NO
1976,Michigan,MI,26,34,23,US President,"Ford, Gerald",republican,"1,893,742","3,651,590",51.86%,1,NO
1976,Michigan,MI,26,34,23,US President,"Carter, Jimmy",democrat,"1,696,714","3,651,590",46.47%,2,YES
1976,Minnesota,MN,27,41,33,US President,"Carter, Jimmy",democrat,"1,070,440","1,949,931",54.90%,1,YES
1976,Minnesota,MN,27,41,33,US President,"Ford, Gerald",republican,"819,395","1,949,931",42.02%,2,NO
1976,Mississippi,MS,28,64,46,US President,"Carter, Jimmy",democrat,"381,329","768,390",49.63%,1,YES
1976,Mississippi,MS,28,64,46,US President,"Ford, Gerald",republican,"366,846","768,390",47.74%,2,NO
1976,Missouri,MO,29,43,34,US President,"Carter, Jimmy",democrat,"998,387","1,953,600",51.10%,1,YES
1976,Missouri,MO,29,43,34,US President,"Ford, Gerald",republican,"927,443","1,953,600",47.47%,2,NO
1976,Montana,MT,30,81,64,US President,"Ford, Gerald",republican,"173,703","328,734",52.84%,1,NO
1976,Montana,MT,30,81,64,US President,"Carter, Jimmy",democrat,"149,259","328,734",45.40%,2,YES
1976,Nebraska,NE,31,46,35,US President,"Ford, Gerald",republican,"359,219","606,749",59.20%,1,NO
1976,Nebraska,NE,31,46,35,US President,"Carter, Jimmy",democrat,"233,293","606,749",38.45%,2,YES
1976,Nevada,NV,32,88,65,US President,"Ford, Gerald",republican,"101,273","201,876",50.17%,1,NO
1976,Nevada,NV,32,88,65,US President,"Carter, Jimmy",democrat,"92,479","201,876",45.81%,2,YES
1976,New Hampshire,NH,33,12,4,US President,"Ford, Gerald",republican,"185,935","339,627",54.75%,1,NO
1976,New Hampshire,NH,33,12,4,US President,"Carter, Jimmy",democrat,"147,645","339,627",43.47%,2,YES
1976,New Jersey,NJ,34,22,12,US President,"Ford, Gerald",republican,"1,509,688","3,014,472",50.08%,1,NO
1976,New Jersey,NJ,34,22,12,US President,"Carter, Jimmy",democrat,"1,444,653","3,014,472",47.92%,2,YES
1976,New Mexico,NM,35,85,66,US President,"Ford, Gerald",republican,"211,419","416,590",50.75%,1,NO
1976,New Mexico,NM,35,85,66,US President,"Carter, Jimmy",democrat,"201,148","416,590",48.28%,2,YES
1976,New York,NY,36,21,13,US President,"Carter, Jimmy",democrat,"3,244,165","6,668,262",48.65%,1,YES
1976,New York,NY,36,21,13,US President,"Ford, Gerald",republican,"2,825,913","6,668,262",42.38%,2,NO
1976,New York,NY,36,21,13,US President,"Ford, Gerald",conservative,"274,878","6,668,262",4.12%,2,NO
1976,New York,NY,36,21,13,US President,"Carter, Jimmy",liberal party,"145,393","6,668,262",2.18%,2,YES
1976,North Carolina,NC,37,56,47,US President,"Carter, Jimmy",democrat,"927,365","1,677,906",55.27%,1,YES
1976,North Carolina,NC,37,56,47,US President,"Ford, Gerald",republican,"741,960","1,677,906",44.22%,2,NO
1976,North Dakota,ND,38,44,36,US President,"Ford, Gerald",republican,"153,684","297,308",51.69%,1,NO
1976,North Dakota,ND,38,44,36,US President,"Carter, Jimmy",democrat,"136,078","297,308",45.77%,2,YES
1976,Ohio,OH,39,31,24,US President,"Carter, Jimmy",democrat,"2,009,959","4,110,456",48.90%,1,YES
1976,Ohio,OH,39,31,24,US President,"Ford, Gerald",republican,"2,000,626","4,110,456",48.67%,2,NO
1976,Oklahoma,OK,40,73,53,US President,"Ford, Gerald",republican,"545,708","1,092,251",49.96%,1,NO
1976,Oklahoma,OK,40,73,53,US President,"Carter, Jimmy",democrat,"532,442","1,092,251",48.75%,2,YES
1976,Oregon,OR,41,92,72,US President,"Ford, Gerald",republican,"492,120","1,029,876",47.78%,1,NO
1976,Oregon,OR,41,92,72,US President,"Carter, Jimmy",democrat,"490,407","1,029,876",47.62%,2,YES
1976,Pennsylvania,PA,42,23,14,US President,"Carter, Jimmy",democrat,"2,328,677","4,620,787",50.40%,1,YES
1976,Pennsylvania,PA,42,23,14,US President,"Ford, Gerald",republican,"2,205,604","4,620,787",47.73%,2,NO
1976,Rhode Island,RI,44,15,5,US President,"Carter, Jimmy",democrat,"227,636","410,584",55.44%,1,YES
1976,Rhode Island,RI,44,15,5,US President,"Ford, Gerald",republican,"181,249","410,584",44.14%,2,NO
1976,South Carolina,SC,45,57,48,US President,"Carter, Jimmy",democrat,"450,807","802,583",56.17%,1,YES
1976,South Carolina,SC,45,57,48,US President,"Ford, Gerald",republican,"346,149","802,583",43.13%,2,NO
1976,South Dakota,SD,46,45,37,US President,"Ford, Gerald",republican,"151,505","300,678",50.39%,1,NO
1976,South Dakota,SD,46,45,37,US President,"Carter, Jimmy",democrat,"147,068","300,678",48.91%,2,YES
1976,Tennessee,TN,47,62,54,US President,"Carter, Jimmy",democrat,"825,879","1,476,346",55.94%,1,YES
1976,Tennessee,TN,47,62,54,US President,"Ford, Gerald",republican,"633,969","1,476,346",42.94%,2,NO
1976,Texas,TX,48,74,49,US President,"Carter, Jimmy",democrat,"2,082,319","4,071,884",51.14%,1,YES
1976,Texas,TX,48,74,49,US President,"Ford, Gerald",republican,"1,953,300","4,071,884",47.97%,2,NO
1976,Utah,UT,49,87,67,US President,"Ford, Gerald",republican,"337,908","541,218",62.43%,1,NO
1976,Utah,UT,49,87,67,US President,"Carter, Jimmy",democrat,"182,110","541,218",33.65%,2,YES
1976,Vermont,VT,50,13,6,US President,"Ford, Gerald",republican,"100,387","183,902",54.59%,1,NO
1976,Vermont,VT,50,13,6,US President,"Carter, Jimmy",democrat,"77,798","183,902",42.30%,2,YES
1976,Virginia,VA,51,54,40,US President,"Ford, Gerald",republican,"836,554","1,697,094",49.29%,1,NO
1976,Virginia,VA,51,54,40,US President,"Carter, Jimmy",democrat,"813,896","1,697,094",47.96%,2,YES
1976,Washington,WA,53,91,73,US President,"Ford, Gerald",republican,"777,732","1,555,534",50.00%,1,NO
1976,Washington,WA,53,91,73,US President,"Carter, Jimmy",democrat,"717,323","1,555,534",46.11%,2,YES
1976,West Virginia,WV,54,55,56,US President,"Carter, Jimmy",democrat,"435,864","750,590",58.07%,1,YES
1976,West Virginia,WV,54,55,56,US President,"Ford, Gerald",republican,"314,726","750,590",41.93%,2,NO
1976,Wisconsin,WI,55,35,25,US President,"Carter, Jimmy",democrat,"1,040,232","2,101,336",49.50%,1,YES
1976,Wisconsin,WI,55,35,25,US President,"Ford, Gerald",republican,"1,004,987","2,101,336",47.83%,2,NO
1976,Wyoming,WY,56,83,68,US President,"Ford, Gerald",republican,"92,717","156,343",59.30%,1,NO
1976,Wyoming,WY,56,83,68,US President,"Carter, Jimmy",democrat,"62,239","156,343",39.81%,2,YES
1980,Alabama,AL,1,63,41,US President,"Reagan, Ronald",republican,"654,192","1,341,929",48.75%,1,YES
1980,Alabama,AL,1,63,41,US President,"Carter, Jimmy",democrat,"636,730","1,341,929",47.45%,2,NO
1980,Alaska,AK,2,94,81,US President,"Reagan, Ronald",republican,"86,112","158,445",54.35%,1,YES
1980,Alaska,AK,2,94,81,US President,"Carter, Jimmy",democrat,"41,842","158,445",26.41%,2,NO
1980,Arizona,AZ,4,86,61,US President,"Reagan, Ronald",republican,"529,688","873,945",60.61%,1,YES
1980,Arizona,AZ,4,86,61,US President,"Carter, Jimmy",democrat,"246,843","873,945",28.24%,2,NO
1980,Arkansas,AR,5,71,42,US President,"Reagan, Ronald",republican,"403,164","837,582",48.13%,1,YES
1980,Arkansas,AR,5,71,42,US President,"Carter, Jimmy",democrat,"398,041","837,582",47.52%,2,NO
1980,California,CA,6,93,71,US President,"Reagan, Ronald",republican,"4,522,994","8,582,938",52.70%,1,YES
1980,California,CA,6,93,71,US President,"Carter, Jimmy",democrat,"3,082,943","8,582,938",35.92%,2,NO
1980,Colorado,CO,8,84,62,US President,"Reagan, Ronald",republican,"652,264","1,184,450",55.07%,1,YES
1980,Colorado,CO,8,84,62,US President,"Carter, Jimmy",democrat,"368,009","1,184,450",31.07%,2,NO
1980,Connecticut,CT,9,16,1,US President,"Reagan, Ronald",republican,"677,210","1,406,285",48.16%,1,YES
1980,Connecticut,CT,9,16,1,US President,"Carter, Jimmy",democrat,"541,732","1,406,285",38.52%,2,NO
1980,Delaware,DE,10,51,11,US President,"Reagan, Ronald",republican,"111,252","235,668",47.21%,1,YES
1980,Delaware,DE,10,51,11,US President,"Carter, Jimmy",democrat,"105,754","235,668",44.87%,2,NO
1980,District of Columbia,DC,11,53,55,US President,"Carter, Jimmy",democrat,"130,231","173,889",74.89%,1,NO
1980,District of Columbia,DC,11,53,55,US President,"Reagan, Ronald",republican,"23,313","173,889",13.41%,2,YES
1980,Florida,FL,12,59,43,US President,"Reagan, Ronald",republican,"2,046,951","3,686,927",55.52%,1,YES
1980,Florida,FL,12,59,43,US President,"Carter, Jimmy",democrat,"1,419,475","3,686,927",38.50%,2,NO
1980,Georgia,GA,13,58,44,US President,"Carter, Jimmy",democrat,"890,955","1,596,805",55.80%,1,NO
1980,Georgia,GA,13,58,44,US President,"Reagan, Ronald",republican,"654,168","1,596,805",40.97%,2,YES
1980,Hawaii,HI,15,95,82,US President,"Carter, Jimmy",democrat,"135,879","303,287",44.80%,1,NO
1980,Hawaii,HI,15,95,82,US President,"Reagan, Ronald",republican,"130,112","303,287",42.90%,2,YES
1980,Idaho,ID,16,82,63,US President,"Reagan, Ronald",republican,"290,699","437,431",66.46%,1,YES
1980,Idaho,ID,16,82,63,US President,"Carter, Jimmy",democrat,"110,192","437,431",25.19%,2,NO
1980,Illinois,IL,17,33,21,US President,"Reagan, Ronald",republican,"2,358,049","4,749,721",49.65%,1,YES
1980,Illinois,IL,17,33,21,US President,"Carter, Jimmy",democrat,"1,981,413","4,749,721",41.72%,2,NO
1980,Indiana,IN,18,32,22,US President,"Reagan, Ronald",republican,"1,255,656","2,242,033",56.01%,1,YES
1980,Indiana,IN,18,32,22,US President,"Carter, Jimmy",democrat,"844,197","2,242,033",37.65%,2,NO
1980,Iowa,IA,19,42,31,US President,"Reagan, Ronald",republican,"676,026","1,317,661",51.31%,1,YES
1980,Iowa,IA,19,42,31,US President,"Carter, Jimmy",democrat,"508,672","1,317,661",38.60%,2,NO
1980,Kansas,KS,20,47,32,US President,"Reagan, Ronald",republican,"566,812","979,795",57.85%,1,YES
1980,Kansas,KS,20,47,32,US President,"Carter, Jimmy",democrat,"326,150","979,795",33.29%,2,NO
1980,Kentucky,KY,21,61,51,US President,"Reagan, Ronald",republican,"635,274","1,295,627",49.03%,1,YES
1980,Kentucky,KY,21,61,51,US President,"Carter, Jimmy",democrat,"617,417","1,295,627",47.65%,2,NO
1980,Louisiana,LA,22,72,45,US President,"Reagan, Ronald",republican,"792,853","1,548,591",51.20%,1,YES
1980,Louisiana,LA,22,72,45,US President,"Carter, Jimmy",democrat,"708,453","1,548,591",45.75%,2,NO
1980,Maine,ME,23,11,2,US President,"Reagan, Ronald",republican,"238,522","523,011",45.61%,1,YES
1980,Maine,ME,23,11,2,US President,"Carter, Jimmy",democrat,"220,974","523,011",42.25%,2,NO
1980,Maryland,MD,24,52,52,US President,"Carter, Jimmy",democrat,"726,161","1,540,496",47.14%,1,NO
1980,Maryland,MD,24,52,52,US President,"Reagan, Ronald",republican,"680,606","1,540,496",44.18%,2,YES
1980,Massachusetts,MA,25,14,3,US President,"Reagan, Ronald",republican,"1,057,631","2,524,090",41.90%,1,YES
1980,Massachusetts,MA,25,14,3,US President,"Carter, Jimmy",democrat,"1,053,802","2,524,090",41.75%,2,NO
1980,Michigan,MI,26,34,23,US President,"Reagan, Ronald",republican,"1,915,225","3,909,725",48.99%,1,YES
1980,Michigan,MI,26,34,23,US President,"Carter, Jimmy",democrat,"1,661,532","3,909,725",42.50%,2,NO
1980,Minnesota,MN,27,41,33,US President,"Carter, Jimmy",democrat,"954,173","2,051,916",46.50%,1,NO
1980,Minnesota,MN,27,41,33,US President,"Reagan, Ronald",republican,"873,268","2,051,916",42.56%,2,YES
1980,Mississippi,MS,28,64,46,US President,"Reagan, Ronald",republican,"441,089","891,750",49.46%,1,YES
1980,Mississippi,MS,28,64,46,US President,"Carter, Jimmy",democrat,"429,281","891,750",48.14%,2,NO
1980,Missouri,MO,29,43,34,US President,"Reagan, Ronald",republican,"1,074,181","2,099,824",51.16%,1,YES
1980,Missouri,MO,29,43,34,US President,"Carter, Jimmy",democrat,"931,182","2,099,824",44.35%,2,NO
1980,Montana,MT,30,81,64,US President,"Reagan, Ronald",republican,"206,814","363,952",56.82%,1,YES
1980,Montana,MT,30,81,64,US President,"Carter, Jimmy",democrat,"118,032","363,952",32.43%,2,NO
1980,Nebraska,NE,31,46,35,US President,"Reagan, Ronald",republican,"419,214","639,533",65.55%,1,YES
1980,Nebraska,NE,31,46,35,US President,"Carter, Jimmy",democrat,"166,424","639,533",26.02%,2,NO
1980,Nevada,NV,32,88,65,US President,"Reagan, Ronald",republican,"155,017","243,692",63.61%,1,YES
1980,Nevada,NV,32,88,65,US President,"Carter, Jimmy",democrat,"66,666","243,692",27.36%,2,NO
1980,New Hampshire,NH,33,12,4,US President,"Reagan, Ronald",republican,"221,705","383,990",57.74%,1,YES
1980,New Hampshire,NH,33,12,4,US President,"Carter, Jimmy",democrat,"108,864","383,990",28.35%,2,NO
1980,New Jersey,NJ,34,22,12,US President,"Reagan, Ronald",republican,"1,546,557","2,975,684",51.97%,1,YES
1980,New Jersey,NJ,34,22,12,US President,"Carter, Jimmy",democrat,"1,147,364","2,975,684",38.56%,2,NO
1980,New Mexico,NM,35,85,66,US President,"Reagan, Ronald",republican,"250,779","456,237",54.97%,1,YES
1980,New Mexico,NM,35,85,66,US President,"Carter, Jimmy",democrat,"167,826","456,237",36.78%,2,NO
1980,New York,NY,36,21,13,US President,"Carter, Jimmy",democrat,"2,728,372","6,201,959",43.99%,1,NO
1980,New York,NY,36,21,13,US President,"Reagan, Ronald",republican,"2,637,700","6,201,959",42.53%,2,YES
1980,New York,NY,36,21,13,US President,"Reagan, Ronald",conservative,"256,131","6,201,959",4.13%,2,YES
1980,North Carolina,NC,37,56,47,US President,"Reagan, Ronald",republican,"915,018","1,855,833",49.30%,1,YES
1980,North Carolina,NC,37,56,47,US President,"Carter, Jimmy",democrat,"875,635","1,855,833",47.18%,2,NO
1980,North Dakota,ND,38,44,36,US President,"Reagan, Ronald",republican,"193,695","301,116",64.33%,1,YES
1980,North Dakota,ND,38,44,36,US President,"Carter, Jimmy",democrat,"79,189","301,116",26.30%,2,NO
1980,Ohio,OH,39,31,24,US President,"Reagan, Ronald",republican,"2,206,545","4,283,603",51.51%,1,YES
1980,Ohio,OH,39,31,24,US President,"Carter, Jimmy",democrat,"1,752,414","4,283,603",40.91%,2,NO
1980,Oklahoma,OK,40,73,53,US President,"Reagan, Ronald",republican,"695,570","1,149,708",60.50%,1,YES
1980,Oklahoma,OK,40,73,53,US President,"Carter, Jimmy",democrat,"402,026","1,149,708",34.97%,2,NO
1980,Oregon,OR,41,92,72,US President,"Reagan, Ronald",republican,"571,044","1,181,516",48.33%,1,YES
1980,Oregon,OR,41,92,72,US President,"Carter, Jimmy",democrat,"456,890","1,181,516",38.67%,2,NO
1980,Pennsylvania,PA,42,23,14,US President,"Reagan, Ronald",republican,"2,261,872","4,561,501",49.59%,1,YES
1980,Pennsylvania,PA,42,23,14,US President,"Carter, Jimmy",democrat,"1,937,540","4,561,501",42.48%,2,NO
1980,Rhode Island,RI,44,15,5,US President,"Carter, Jimmy",democrat,"198,342","415,967",47.68%,1,NO
1980,Rhode Island,RI,44,15,5,US President,"Reagan, Ronald",republican,"154,793","415,967",37.21%,2,YES
1980,South Carolina,SC,45,57,48,US President,"Reagan, Ronald",republican,"439,277","888,258",49.45%,1,YES
1980,South Carolina,SC,45,57,48,US President,"Carter, Jimmy",democrat,"428,220","888,258",48.21%,2,NO
1980,South Dakota,SD,46,45,37,US President,"Reagan, Ronald",republican,"198,343","327,703",60.53%,1,YES
1980,South Dakota,SD,46,45,37,US President,"Carter, Jimmy",democrat,"103,855","327,703",31.69%,2,NO
1980,Tennessee,TN,47,62,54,US President,"Reagan, Ronald",republican,"787,761","1,617,616",48.70%,1,YES
1980,Tennessee,TN,47,62,54,US President,"Carter, Jimmy",democrat,"783,051","1,617,616",48.41%,2,NO
1980,Texas,TX,48,74,49,US President,"Reagan, Ronald",republican,"2,510,705","4,541,636",55.28%,1,YES
1980,Texas,TX,48,74,49,US President,"Carter, Jimmy",democrat,"1,881,147","4,541,636",41.42%,2,NO
1980,Utah,UT,49,87,67,US President,"Reagan, Ronald",republican,"439,687","604,152",72.78%,1,YES
1980,Utah,UT,49,87,67,US President,"Carter, Jimmy",democrat,"124,266","604,152",20.57%,2,NO
1980,Vermont,VT,50,13,6,US President,"Reagan, Ronald",republican,"94,628","213,299",44.36%,1,YES
1980,Vermont,VT,50,13,6,US President,"Carter, Jimmy",democrat,"81,952","213,299",38.42%,2,NO
1980,Virginia,VA,51,54,40,US President,"Reagan, Ronald",republican,"989,609","1,866,032",53.03%,1,YES
1980,Virginia,VA,51,54,40,US President,"Carter, Jimmy",democrat,"752,174","1,866,032",40.31%,2,NO
1980,Washington,WA,53,91,73,US President,"Reagan, Ronald",republican,"865,244","1,742,394",49.66%,1,YES
1980,Washington,WA,53,91,73,US President,"Carter, Jimmy",democrat,"650,193","1,742,394",37.32%,2,NO
1980,West Virginia,WV,54,55,56,US President,"Carter, Jimmy",democrat,"367,462","737,715",49.81%,1,NO
1980,West Virginia,WV,54,55,56,US President,"Reagan, Ronald",republican,"334,206","737,715",45.30%,2,YES
1980,Wisconsin,WI,55,35,25,US President,"Reagan, Ronald",republican,"1,088,845","2,273,221",47.90%,1,YES
1980,Wisconsin,WI,55,35,25,US President,"Carter, Jimmy",democrat,"981,584","2,273,221",43.18%,2,NO
1980,Wyoming,WY,56,83,68,US President,"Reagan, Ronald",republican,"110,700","176,713",62.64%,1,YES
1980,Wyoming,WY,56,83,68,US President,"Carter, Jimmy",democrat,"49,427","176,713",27.97%,2,NO
1984,Alabama,AL,1,63,41,US President,"Reagan, Ronald",republican,"872,849","1,441,713",60.54%,1,YES
1984,Alabama,AL,1,63,41,US President,"Mondale, Walter",democrat,"551,899","1,441,713",38.28%,2,NO
1984,Alaska,AK,2,94,81,US President,"Reagan, Ronald",republican,"138,377","207,605",66.65%,1,YES
1984,Alaska,AK,2,94,81,US President,"Mondale, Walter",democrat,"62,007","207,605",29.87%,2,NO
1984,Arizona,AZ,4,86,61,US President,"Reagan, Ronald",republican,"681,416","1,025,897",66.42%,1,YES
1984,Arizona,AZ,4,86,61,US President,"Mondale, Walter",democrat,"333,854","1,025,897",32.54%,2,NO
1984,Arkansas,AR,5,71,42,US President,"Reagan, Ronald",republican,"534,774","884,406",60.47%,1,YES
1984,Arkansas,AR,5,71,42,US President,"Mondale, Walter",democrat,"338,646","884,406",38.29%,2,NO
1984,California,CA,6,93,71,US President,"Reagan, Ronald",republican,"5,467,009","9,505,041",57.52%,1,YES
1984,California,CA,6,93,71,US President,"Mondale, Walter",democrat,"3,922,519","9,505,041",41.27%,2,NO
1984,Colorado,CO,8,84,62,US President,"Reagan, Ronald",republican,"821,817","1,295,380",63.44%,1,YES
1984,Colorado,CO,8,84,62,US President,"Mondale, Walter",democrat,"454,975","1,295,380",35.12%,2,NO
1984,Connecticut,CT,9,16,1,US President,"Reagan, Ronald",republican,"890,877","1,466,900",60.73%,1,YES
1984,Connecticut,CT,9,16,1,US President,"Mondale, Walter",democrat,"569,597","1,466,900",38.83%,2,NO
1984,Delaware,DE,10,51,11,US President,"Reagan, Ronald",republican,"152,190","254,572",59.78%,1,YES
1984,Delaware,DE,10,51,11,US President,"Mondale, Walter",democrat,"101,656","254,572",39.93%,2,NO
1984,District of Columbia,DC,11,53,55,US President,"Mondale, Walter",democrat,"180,408","211,288",85.38%,1,NO
1984,District of Columbia,DC,11,53,55,US President,"Reagan, Ronald",republican,"29,009","211,288",13.73%,2,YES
1984,Florida,FL,12,59,43,US President,"Reagan, Ronald",republican,"2,730,350","4,180,051",65.32%,1,YES
1984,Florida,FL,12,59,43,US President,"Mondale, Walter",democrat,"1,448,816","4,180,051",34.66%,2,NO
1984,Georgia,GA,13,58,44,US President,"Reagan, Ronald",republican,"1,068,722","1,776,103",60.17%,1,YES
1984,Georgia,GA,13,58,44,US President,"Mondale, Walter",democrat,"706,628","1,776,103",39.79%,2,NO
1984,Hawaii,HI,15,95,82,US President,"Reagan, Ronald",republican,"185,050","335,846",55.10%,1,YES
1984,Hawaii,HI,15,95,82,US President,"Mondale, Walter",democrat,"147,154","335,846",43.82%,2,NO
1984,Idaho,ID,16,82,63,US President,"Reagan, Ronald",republican,"297,523","411,144",72.36%,1,YES
1984,Idaho,ID,16,82,63,US President,"Mondale, Walter",democrat,"108,510","411,144",26.39%,2,NO
1984,Illinois,IL,17,33,21,US President,"Reagan, Ronald",republican,"2,707,103","4,819,088",56.17%,1,YES
1984,Illinois,IL,17,33,21,US President,"Mondale, Walter",democrat,"2,086,499","4,819,088",43.30%,2,NO
1984,Indiana,IN,18,32,22,US President,"Reagan, Ronald",republican,"1,377,230","2,233,069",61.67%,1,YES
1984,Indiana,IN,18,32,22,US President,"Mondale, Walter",democrat,"841,481","2,233,069",37.68%,2,NO
1984,Iowa,IA,19,42,31,US President,"Reagan, Ronald",republican,"703,088","1,319,805",53.27%,1,YES
1984,Iowa,IA,19,42,31,US President,"Mondale, Walter",democrat,"605,620","1,319,805",45.89%,2,NO
1984,Kansas,KS,20,47,32,US President,"Reagan, Ronald",republican,"677,296","1,021,991",66.27%,1,YES
1984,Kansas,KS,20,47,32,US President,"Mondale, Walter",democrat,"333,149","1,021,991",32.60%,2,NO
1984,Kentucky,KY,21,61,51,US President,"Reagan, Ronald",republican,"821,702","1,369,345",60.01%,1,YES
1984,Kentucky,KY,21,61,51,US President,"Mondale, Walter",democrat,"539,539","1,369,345",39.40%,2,NO
1984,Louisiana,LA,22,72,45,US President,"Reagan, Ronald",republican,"1,037,299","1,706,822",60.77%,1,YES
1984,Louisiana,LA,22,72,45,US President,"Mondale, Walter",democrat,"651,586","1,706,822",38.18%,2,NO
1984,Maine,ME,23,11,2,US President,"Reagan, Ronald",republican,"336,500","553,144",60.83%,1,YES
1984,Maine,ME,23,11,2,US President,"Mondale, Walter",democrat,"214,515","553,144",38.78%,2,NO
1984,Maryland,MD,24,52,52,US President,"Reagan, Ronald",republican,"879,918","1,675,873",52.51%,1,YES
1984,Maryland,MD,24,52,52,US President,"Mondale, Walter",democrat,"787,935","1,675,873",47.02%,2,NO
1984,Massachusetts,MA,25,14,3,US President,"Reagan, Ronald",republican,"1,310,936","2,559,383",51.22%,1,YES
1984,Massachusetts,MA,25,14,3,US President,"Mondale, Walter",democrat,"1,239,606","2,559,383",48.43%,2,NO
